study_name,dataset_name,variable_name,question_name,instrument_name
soep-core,spequiv,iprvp02,2,soep-core-1992-pe
soep-core,spequiv,opery02,2,soep-core-1998-pe
soep-core,thgen,fheat03,3,soep-core-1989-hh
soep-core,thgen,fhinc03,3,soep-core-1989-hh
soep-core,tpequiv,chspt03,3,soep-core-1986-hh
soep-core,tpequiv,fholy03,3,soep-core-1989-hh
soep-core,tpequiv,fhsup03,3,soep-core-1989-hh
soep-core,tpequiv,fprvp03,3,soep-core-1989-pe
soep-core,tpequiv,iholy03,3,soep-core-1992-hh
soep-core,tpequiv,iprv103,10,soep-core-1992-pe
soep-core,tpequiv,iprv203,20,soep-core-1992-pe
soep-core,tpequiv,iprvp03,3,soep-core-1992-pe
soep-core,tpequiv,opery03,3,soep-core-1998-pe
soep-core,uhgen,fheat04,4,soep-core-1989-hh
soep-core,uhgen,fhinc04,4,soep-core-1989-hh
soep-core,upequiv,chspt04,4,soep-core-1986-hh
soep-core,upequiv,fholy04,4,soep-core-1989-hh
soep-core,upequiv,fhsup04,4,soep-core-1989-hh
soep-core,upequiv,fprvp04,4,soep-core-1989-pe
soep-core,upequiv,iholy04,4,soep-core-1992-hh
soep-core,upequiv,iprv104,10,soep-core-1992-pe
soep-core,upequiv,iprv204,20,soep-core-1992-pe
soep-core,upequiv,iprvp04,4,soep-core-1992-pe
soep-core,upequiv,opery04,4,soep-core-1998-pe
soep-core,vhgen,fheat05,5,soep-core-1989-hh
soep-core,vhgen,fhinc05,5,soep-core-1989-hh
soep-core,vpequiv,chspt05,5,soep-core-1986-hh
soep-core,vpequiv,fholy05,5,soep-core-1989-hh
soep-core,vpequiv,fhsup05,5,soep-core-1989-hh
soep-core,vpequiv,fprvp05,5,soep-core-1989-pe
soep-core,vpequiv,iholy05,5,soep-core-1992-hh
soep-core,vpequiv,iprv105,10,soep-core-1992-pe
soep-core,vpequiv,iprv205,20,soep-core-1992-pe
soep-core,vpequiv,iprvp05,5,soep-core-1992-pe
soep-core,vpequiv,opery05,5,soep-core-1998-pe
soep-core,whgen,fheat06,6,soep-core-1989-hh
soep-core,whgen,fhinc06,6,soep-core-1989-hh
soep-core,wpequiv,chspt06,6,soep-core-1986-hh
soep-core,wpequiv,fholy06,6,soep-core-1989-hh
soep-core,wpequiv,fhsup06,6,soep-core-1989-hh
